busca,titulo,empresa,local,publicado_ha,salario
analista de dados,"ANALISTA DE OPERAÇÕES - Subsídios, Ofícios e Encerramento Processual",FINCH,Bauru,24h,R$ 2 mil (fornecido pela empresa)
analista de dados,Analista de Retail Ads (Blumenau-SC),Conecta Ads,Blumenau,mais de 30 dias,R$ 2 mil (fornecido pela empresa)
analista de dados,Analista de Dados,JCANEDO,Brusque,12 dia(s),R$ 2 mil - R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de TI,Opta soluções em Call Center,Caxias do Sul,5 dia(s),R$ 2 mil - R$ 3 mil (fornecido pela empresa)
analista de dados,Analista de Recursos Humanos,Confidencial,Brasil,16 dia(s),R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de Desenvolvimento Full Stack Pleno (Python),FADAMI SOLUÇÕES DE INFORMÀTICA LTDA,"Rio de Janeiro, Rio de Janeiro",mais de 30 dias,R$ 2 mil (fornecido pela empresa)
analista de dados,Analista Sr Tecnologia Informação,RD Saúde,"São Paulo, São Paulo",17 dia(s),R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de E-commerce(Vaga Presencial),EDIN,"Cascavel, Paraná",11 dia(s),R$ 3 mil - R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de Contabilidade Junior,People55,"Tijucas, Santa Catarina",2 dia(s),R$ 3 mil (fornecido pela empresa)
analista de dados,Analista Fiscal,Aliança assessoria contábil,Uberlândia,24h,R$ 3 mil - R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de PCP,Pollyrubber Indústria S/A,Contagem,6 dia(s),R$ 2 mil - R$ 4 mil (fornecido pela empresa)
analista de dados,Analista Fiscal Pleno,NGCON,Goiânia,21 dia(s),R$ 3 mil - R$ 4 mil (fornecido pela empresa)
analista de dados,Analista Pl de Planejamento e Inteligência de Transportes B2C,RD Saúde,"São Paulo, São Paulo",mais de 30 dias,R$ 3 mil - R$ 5 mil (fornecido pela empresa)
analista de dados,Analista de MIS,Nova Gestoes,Curitiba,6 dia(s),R$ 4 mil (fornecido pela empresa)
